cost_id,date,category,subcategory,amount,currency,vendor,department,budget_allocated,approval_status,payment_status,invoice_number
COST00014,2024-04-12,Marketing,Sub-Marketing-1,12005.11,USD,,Counseling,16773.91,Approved,Paid,INV3791-4237
COST00015,2024-10-26,Insurance,Sub-Insurance-1,18721.46,USD,MedTech Solutions,Surgery,25097.86,Approved,Paid,INV5071-8206
COST00016,2025-06-04,Medical Supplies,Sub-MedicalSupplies-2,48730.83,USD,MedTech Solutions,Ultrasound,54056.16,Approved,Paid,INV4308-9782
COST00017,2025-02-17,Marketing,Sub-Marketing-4,7690.81,USD,Medical Devices Inc,Andrology,7749.17,Approved,Due,INV3263-1975
COST00018,2025-09-12,Utilities,Sub-Utilities-3,14024.11,USD,Health Systems Pro,Ultrasound,11604.27,Approved,Due,
COST00019,2025-07-18,Pharmaceuticals,Sub-Pharmaceuticals-3,11235.22,USD,Medical Devices Inc,Reproductive Endocrinology,16379.58,Approved,Paid,INV2897-2349
COST00020,2024-04-14,Insurance,Sub-Insurance-5,18594.43,USD,Advanced Medical Systems,Nursing,18069.25,Approved,Paid,INV1788-9302
COST00021,2024-02-22,Insurance,Sub-Insurance-3,10434.01,USD,Clinical Solutions Ltd,Counseling,9712.18,Approved,Paid,INV2994-6606
COST00022,2025-03-07,Utilities,Sub-Utilities-5,11890.38,USD,Medical Devices Inc,Andrology,15319.95,Approved,Paid,INV5998-2856
COST00023,2025-01-07,Pharmaceuticals,Sub-Pharmaceuticals-1,6811.17,USD,Health Systems Pro,Counseling,7229.47,Approved,Paid,INV6688-5650
COST00024,2024-04-18,Medical Supplies,Sub-MedicalSupplies-2,15297.05,USD,,Andrology,21627.97,Approved,Paid,INV3832-5592
COST00025,2024-07-06,Insurance,Sub-Insurance-5,4753.37,USD,MedTech Solutions,Surgery,5357.62,Pending,Paid,INV4802-5194
COST00026,2025-04-17,Equipment Maintenance,Sub-EquipmentMaintenance-5,6175.77,USD,Healthcare Innovations,Andrology,6501.94,Approved,Paid,INV6624-7281
COST00027,2024-07-18,Utilities,Sub-Utilities-2,17027.51,USD,Precision Healthcare,Reproductive Endocrinology,22987.26,Pending,Paid,INV8347-9773
COST00028,2024-01-22,IT Support,Sub-ITSupport-4,8288.53,USD,Health Systems Pro,Andrology,10734.19,Approved,Paid,INV9884-9749
COST00029,2024-08-31,Staff Salaries,Sub-StaffSalaries-2,142671.83,USD,,Reproductive Endocrinology,150693.38,Approved,Overdue,INV9199-8785
COST00030,2025-09-09,Staff Salaries,Sub-StaffSalaries-2,89904.57,USD,Medical Devices Inc,Embryology Lab,120169.3,Approved,Paid,INV9250-4588
COST00031,2024-01-08,Staff Salaries,Sub-StaffSalaries-4,67183.37,USD,Health Systems Pro,Andrology,57669.64,Pending,Paid,INV9358-2333
COST00032,2024-09-01,Medical Supplies,Sub-MedicalSupplies-1,17835.26,USD,Health Systems Pro,Reproductive Endocrinology,21359.04,Approved,Paid,INV3787-2962
COST00033,2025-06-04,Marketing,Sub-Marketing-5,5321.67,USD,MedTech Solutions,Nursing,5376.22,Approved,Due,INV6663-2362
COST00034,2025-06-15,Marketing,Sub-Marketing-3,19669.26,USD,Advanced Medical Systems,Ultrasound,19671.09,Approved,Paid,INV3274-7589
COST00035,2025-06-09,Training,Sub-Training-5,11825.28,USD,Medical Devices Inc,Ultrasound,17449.95,Approved,Due,INV4578-4195
COST00036,2024-11-15,Utilities,Sub-Utilities-5,6716.26,USD,Clinical Solutions Ltd,Counseling,8510.18,Approved,Due,INV7431-8269
COST00037,2024-11-06,Staff Salaries,Sub-StaffSalaries-3,95891.43,USD,,Counseling,99165.04,Approved,Paid,INV1888-3807
COST00038,2024-05-13,Medical Supplies,Sub-MedicalSupplies-3,36026.22,USD,,Reproductive Endocrinology,32478.35,Pending,Paid,INV2841-9323
COST00039,2025-06-20,Training,Sub-Training-4,11678.82,USD,BioMed Corp,Ultrasound,16603.1,Approved,Paid,INV2883-5166
COST00040,2024-03-31,IT Support,Sub-ITSupport-3,2025.34,USD,MedTech Solutions,Surgery,2538.54,Approved,Paid,INV6345-2646
COST00041,2024-06-01,Staff Salaries,Sub-StaffSalaries-3,195054.46,USD,Precision Healthcare,Surgery,181257.96,Rejected,Due,INV6157-2195
COST00042,2025-10-08,Training,Sub-Training-4,12485.53,USD,Healthcare Innovations,Andrology,15047.32,Approved,Paid,INV2766-5613
COST00043,2025-10-08,Insurance,Sub-Insurance-5,3446.0,USD,Medical Devices Inc,Reproductive Endocrinology,4918.71,Approved,Paid,INV8807-7692
COST00044,2024-05-13,Insurance,Sub-Insurance-1,6562.12,USD,,Embryology Lab,9658.07,Approved,Due,INV3500-6609
COST00045,2025-06-28,Marketing,Sub-Marketing-2,17155.4,USD,BioMed Corp,Ultrasound,17567.08,Approved,Due,INV2684-3309
COST00046,2025-06-24,Equipment Maintenance,Sub-EquipmentMaintenance-4,17530.51,USD,Precision Healthcare,Ultrasound,14670.51,Approved,Paid,INV9935-8442
COST00047,2025-01-29,Rent/Lease,Sub-Rent/Lease-5,969.24,USD,Healthcare Innovations,Embryology Lab,823.85,Approved,Paid,INV7317-8409
COST00048,2024-02-03,IT Support,Sub-ITSupport-1,9083.5,USD,Advanced Medical Systems,Nursing,8030.58,Approved,Overdue,INV9789-5601
COST00049,2024-02-07,Pharmaceuticals,Sub-Pharmaceuticals-2,5476.71,USD,Clinical Solutions Ltd,Reproductive Endocrinology,5157.75,Approved,Due,INV9359-8959
COST00050,2024-12-06,Medical Supplies,Sub-MedicalSupplies-5,48935.62,USD,Healthcare Innovations,Counseling,47798.15,Approved,Overdue,INV1714-2869
COST00051,2024-10-19,Medical Supplies,Sub-MedicalSupplies-2,45480.51,USD,Clinical Solutions Ltd,Embryology Lab,67219.25,Approved,Due,INV4530-6360
COST00052,2024-01-20,Utilities,Sub-Utilities-1,6366.02,USD,Precision Healthcare,Reproductive Endocrinology,6451.98,Approved,Due,INV9528-1165
COST00053,2025-09-18,Training,Sub-Training-2,6454.73,USD,,Nursing,7073.81,Pending,Paid,INV9238-7401
COST00054,2024-01-30,Utilities,Sub-Utilities-5,17854.31,USD,Medical Devices Inc,Surgery,21948.54,Approved,Paid,INV5885-3244
COST00055,2025-08-20,Pharmaceuticals,Sub-Pharmaceuticals-5,14694.0,USD,BioMed Corp,Ultrasound,18754.82,Pending,Paid,INV2369-5173
COST00056,2024-07-11,Medical Supplies,Sub-MedicalSupplies-5,285633.9355833375,USD,Health Systems Pro,Surgery,337680.72,Approved,Paid,INV9281-6050
COST00057,2025-01-22,Training,Sub-Training-1,6752.56,USD,Medical Devices Inc,Andrology,5504.38,Approved,Due,INV6345-5459
COST00058,2024-01-22,Pharmaceuticals,Sub-Pharmaceuticals-3,987.57,USD,MedTech Solutions,Embryology Lab,917.04,Approved,Paid,INV8697-5859
COST00059,2024-03-15,Marketing,Sub-Marketing-1,16016.76,USD,BioMed Corp,Nursing,19803.52,Pending,Paid,INV4449-7041
COST00060,2025-10-05,Training,Sub-Training-3,9329.35,USD,Advanced Medical Systems,Reproductive Endocrinology,8675.37,Approved,Paid,INV1854-9523
COST00061,2024-04-15,Medical Supplies,Sub-MedicalSupplies-1,15333.07,USD,Clinical Solutions Ltd,Reproductive Endocrinology,22520.99,Approved,Paid,INV3374-7396
COST00062,2024-10-31,Rent/Lease,Sub-Rent/Lease-1,9270.35,USD,Advanced Medical Systems,Counseling,10330.48,Approved,Paid,INV3548-1148
COST00063,2025-03-29,Rent/Lease,Sub-Rent/Lease-5,1278.39,USD,Medical Devices Inc,Andrology,1368.39,Approved,Paid,INV7201-3358
COST00064,2024-04-20,Training,Sub-Training-2,2508.46,USD,MedTech Solutions,Counseling,3288.91,Approved,Due,INV5018-8300
COST00065,2025-07-01,Medical Supplies,Sub-MedicalSupplies-3,49536.21,USD,Clinical Solutions Ltd,Reproductive Endocrinology,48231.15,Approved,Paid,INV6934-3958
COST00066,2025-10-01,Medical Supplies,Sub-MedicalSupplies-5,12958.28,USD,Precision Healthcare,Surgery,12040.34,Approved,Paid,INV8597-6370
COST00067,2024-11-07,Staff Salaries,Sub-StaffSalaries-2,67597.61,USD,Precision Healthcare,Surgery,74435.91,Approved,Paid,INV2825-6327
COST00068,2025-10-09,Medical Supplies,Sub-MedicalSupplies-5,8673.14,USD,Advanced Medical Systems,Andrology,9594.48,Approved,Due,INV2269-5464
COST00069,2025-05-30,Utilities,Sub-Utilities-3,18540.16,USD,,Andrology,16141.9,Approved,Due,INV4632-9671
COST00070,2025-01-24,Pharmaceuticals,Sub-Pharmaceuticals-1,19362.83,USD,Health Systems Pro,Counseling,26629.42,Pending,Paid,INV9344-9914
COST00071,2024-01-26,Marketing,Sub-Marketing-2,5832.03,USD,Medical Devices Inc,Surgery,7090.88,Approved,Paid,INV9929-1120
COST00072,2024-01-30,Staff Salaries,Sub-StaffSalaries-3,61547.81,USD,Medical Devices Inc,Embryology Lab,72559.31,Approved,Due,INV4749-1715
COST00073,2025-05-20,Marketing,Sub-Marketing-5,48366.92711572632,USD,Clinical Solutions Ltd,Counseling,57418.29,Approved,Paid,
COST00074,2025-03-31,Training,Sub-Training-2,6295.47,USD,Advanced Medical Systems,Surgery,9284.23,Approved,Paid,INV1601-4443
COST00075,2025-03-15,Staff Salaries,Sub-StaffSalaries-1,112857.13,USD,Healthcare Innovations,Embryology Lab,102453.81,Approved,Due,INV5458-3525
COST00076,2025-03-28,Equipment Maintenance,Sub-EquipmentMaintenance-1,24178.67,USD,Clinical Solutions Ltd,Counseling,20314.55,Approved,Due,INV1427-2300
COST00077,2024-06-04,Marketing,Sub-Marketing-1,15623.34,USD,Healthcare Innovations,Embryology Lab,20356.91,Approved,Paid,INV1781-9318
COST00078,2025-03-18,Medical Supplies,Sub-MedicalSupplies-2,12019.65,USD,Precision Healthcare,Embryology Lab,13056.05,Approved,Paid,INV5144-1175
COST00079,2025-01-05,Staff Salaries,Sub-StaffSalaries-5,163565.39,USD,BioMed Corp,Reproductive Endocrinology,163088.75,Approved,Due,INV8868-4912
COST00080,2025-05-02,Marketing,Sub-Marketing-1,4410.16,USD,Health Systems Pro,Nursing,4844.1,Pending,Paid,INV9479-1293
COST00081,2024-05-20,IT Support,Sub-ITSupport-3,13790.45,USD,Medical Devices Inc,Surgery,14047.53,Approved,Paid,INV5834-9159
COST00082,2024-05-26,Training,Sub-Training-4,19001.38,USD,,Andrology,25001.31,Pending,Paid,INV9783-7777
COST00083,2025-03-20,Marketing,Sub-Marketing-3,9890.65,USD,Healthcare Innovations,Ultrasound,8255.74,Pending,Paid,INV6001-9876
COST00084,2024-12-06,Medical Supplies,Sub-MedicalSupplies-2,37387.85,USD,Health Systems Pro,Surgery,40237.79,Approved,Due,INV7554-4527
COST00085,2024-12-29,Staff Salaries,Sub-StaffSalaries-4,116961.81,USD,Clinical Solutions Ltd,Surgery,111302.84,Approved,Paid,INV3914-2755
COST00086,2025-04-04,Medical Supplies,Sub-MedicalSupplies-5,4637.17,USD,MedTech Solutions,Embryology Lab,6358.88,Approved,Paid,INV7620-3258
COST00087,2025-01-19,Utilities,Sub-Utilities-2,19747.74,USD,Precision Healthcare,Ultrasound,21363.62,Approved,Paid,INV3227-7213
COST00088,2024-07-20,Insurance,Sub-Insurance-2,11521.62,USD,Health Systems Pro,Reproductive Endocrinology,10684.99,Approved,Paid,INV2508-6145
COST00089,2025-08-24,IT Support,Sub-ITSupport-3,11434.1,USD,Clinical Solutions Ltd,Ultrasound,14440.84,Pending,Paid,INV8410-2744
COST00090,2025-06-06,Insurance,Sub-Insurance-3,10195.39,USD,Precision Healthcare,Surgery,11196.82,Approved,Paid,INV5095-1318
COST00091,2024-11-30,IT Support,Sub-ITSupport-3,15935.67,USD,Healthcare Innovations,Reproductive Endocrinology,20161.12,Approved,Paid,INV1966-4297
COST00092,2025-03-13,Medical Supplies,Sub-MedicalSupplies-3,33365.09,USD,BioMed Corp,Surgery,41706.06,Rejected,Paid,INV6569-6227
COST00093,2025-10-16,Equipment Maintenance,Sub-EquipmentMaintenance-2,15652.33,USD,BioMed Corp,Ultrasound,13620.09,Approved,Paid,INV6316-7872
COST00094,2025-03-02,Staff Salaries,Sub-StaffSalaries-5,98658.43,USD,,Nursing,110569.39,Approved,Due,INV2159-9143
COST00095,2024-11-07,Insurance,Sub-Insurance-5,9380.95,USD,Healthcare Innovations,Reproductive Endocrinology,8528.56,Approved,Paid,INV7111-7979
COST00096,2025-02-09,Staff Salaries,Sub-StaffSalaries-3,98645.82,USD,MedTech Solutions,Reproductive Endocrinology,100681.91,Approved,Paid,INV1411-3944
COST00097,2024-12-25,Pharmaceuticals,Sub-Pharmaceuticals-2,13113.97,USD,MedTech Solutions,Nursing,11874.05,Approved,Paid,INV7371-5067
COST00098,2025-10-22,Marketing,Sub-Marketing-2,6848.57,USD,,Nursing,6216.99,Approved,Paid,INV7508-7059
COST00099,2024-04-21,Pharmaceuticals,Sub-Pharmaceuticals-1,10675.63,USD,MedTech Solutions,Nursing,8907.98,Approved,Due,INV9713-3056
COST00100,2025-08-25,Equipment Maintenance,Sub-EquipmentMaintenance-5,46987.31,USD,Advanced Medical Systems,Nursing,38661.77,Pending,Paid,INV3282-5326
COST00101,2024-06-27,Training,Sub-Training-5,13984.51,USD,Healthcare Innovations,Nursing,17625.55,Approved,Paid,INV9910-9945
COST00102,2024-12-28,Training,Sub-Training-3,2589.63,USD,Clinical Solutions Ltd,Embryology Lab,3253.28,Approved,Due,INV1435-1373
COST00103,2025-10-24,Rent/Lease,Sub-Rent/Lease-5,8208.56,USD,BioMed Corp,Andrology,10382.55,Approved,Due,
COST00104,2024-07-13,Staff Salaries,Sub-StaffSalaries-1,91784.08,USD,Clinical Solutions Ltd,Reproductive Endocrinology,109385.58,Pending,Paid,INV8919-9948
COST00105,2025-04-29,Training,Sub-Training-3,11757.38,USD,Medical Devices Inc,Embryology Lab,14540.57,Approved,Paid,INV4361-3421
COST00106,2025-10-17,Equipment Maintenance,Sub-EquipmentMaintenance-5,18521.56,USD,Health Systems Pro,Embryology Lab,22169.83,Approved,Paid,INV4470-1838
COST00107,2024-02-02,Training,Sub-Training-4,5358.94,USD,Clinical Solutions Ltd,Embryology Lab,5345.62,Approved,Due,INV7850-8905
COST00108,2025-10-16,Rent/Lease,Sub-Rent/Lease-1,10944.23,USD,MedTech Solutions,Surgery,13893.78,Approved,Paid,INV4596-8228
COST00109,2025-06-01,Rent/Lease,Sub-Rent/Lease-3,9222.01,USD,MedTech Solutions,Andrology,8609.36,Approved,Paid,
COST00110,2024-11-01,Insurance,Sub-Insurance-3,15959.31,USD,Advanced Medical Systems,Ultrasound,16015.25,Approved,Due,INV2813-2759
COST00111,2024-07-06,Training,Sub-Training-3,16222.31,USD,MedTech Solutions,Ultrasound,24061.9,Approved,Paid,INV9227-2521
COST00112,2024-05-30,Medical Supplies,Sub-MedicalSupplies-3,34760.0,USD,Clinical Solutions Ltd,Nursing,35991.95,Approved,Paid,INV3900-6123
COST00113,2024-05-23,Rent/Lease,Sub-Rent/Lease-5,6261.79,USD,BioMed Corp,Embryology Lab,5173.45,Pending,Paid,INV2570-9005
COST00114,2024-12-23,IT Support,Sub-ITSupport-1,7968.87,USD,Precision Healthcare,Surgery,11206.36,Pending,Paid,INV2274-3294
COST00115,2024-02-29,Pharmaceuticals,Sub-Pharmaceuticals-1,14971.63,USD,MedTech Solutions,Andrology,21482.79,Approved,Paid,INV5380-4471
COST00116,2024-01-15,Training,Sub-Training-3,9503.33,USD,BioMed Corp,Counseling,9564.63,Approved,Paid,INV9777-6459
COST00117,2025-05-21,Utilities,Sub-Utilities-5,2271.11,USD,Healthcare Innovations,Surgery,2748.82,Approved,Paid,INV8522-8843
COST00118,2025-09-28,Staff Salaries,Sub-StaffSalaries-4,102680.88,USD,BioMed Corp,Andrology,95905.55,Approved,Paid,INV6427-7879
COST00119,2024-01-30,Rent/Lease,Sub-Rent/Lease-1,9298.5,USD,Health Systems Pro,Embryology Lab,12204.62,Approved,Paid,INV9767-5265
COST00120,2024-08-19,Rent/Lease,Sub-Rent/Lease-5,4100.34,USD,Advanced Medical Systems,Ultrasound,4033.2,Approved,Paid,INV7990-8846
COST00121,2025-09-30,Staff Salaries,Sub-StaffSalaries-1,121048.43,USD,Clinical Solutions Ltd,Ultrasound,137958.28,Approved,Paid,INV4073-9757
COST00122,2025-04-03,Equipment Maintenance,Sub-EquipmentMaintenance-5,36010.04,USD,MedTech Solutions,Embryology Lab,46262.23,Approved,Paid,INV6655-6699
COST00123,2024-11-02,Marketing,Sub-Marketing-4,12344.22,USD,Medical Devices Inc,Surgery,13361.91,Approved,Overdue,INV3417-3277
COST00124,2025-09-18,Marketing,Sub-Marketing-4,11566.54,USD,Advanced Medical Systems,Ultrasound,13752.35,Approved,Paid,
COST00125,2025-09-27,Staff Salaries,Sub-StaffSalaries-5,195745.37,USD,BioMed Corp,Surgery,216697.83,Approved,Paid,INV8270-2463
COST00126,2025-10-10,Pharmaceuticals,Sub-Pharmaceuticals-2,8959.62,USD,Health Systems Pro,Embryology Lab,13334.21,Pending,Paid,INV5441-1266
COST00127,2024-09-25,Rent/Lease,Sub-Rent/Lease-5,7689.64,USD,Advanced Medical Systems,Andrology,6166.98,Pending,Due,INV3080-6327
COST00128,2025-06-28,Rent/Lease,Sub-Rent/Lease-5,6005.64,USD,BioMed Corp,Nursing,4831.33,Approved,Paid,INV7613-9554
COST00129,2024-04-12,IT Support,Sub-ITSupport-5,18601.67,USD,Healthcare Innovations,Andrology,22174.93,Approved,Paid,INV4585-4373
COST00130,2025-08-31,IT Support,Sub-ITSupport-3,12872.04,USD,BioMed Corp,Nursing,16491.99,Approved,Paid,INV7334-6681
COST00131,2024-11-22,Staff Salaries,Sub-StaffSalaries-4,173152.69,USD,BioMed Corp,Embryology Lab,145810.94,Approved,Paid,INV1808-1580
COST00132,2024-10-06,Staff Salaries,Sub-StaffSalaries-1,85715.69,USD,Clinical Solutions Ltd,Embryology Lab,94584.31,Approved,Due,INV1148-2466
COST00133,2025-10-03,Staff Salaries,Sub-StaffSalaries-2,83517.33,USD,,Ultrasound,108176.4,Approved,Due,INV5973-5608
COST00134,2025-02-19,Training,Sub-Training-5,5469.56,USD,BioMed Corp,Nursing,5464.94,Approved,Paid,INV4971-9929
COST00135,2024-09-18,Insurance,Sub-Insurance-3,4848.02,USD,Advanced Medical Systems,Surgery,5114.33,Approved,Paid,INV8725-1198
COST00136,2024-11-14,Insurance,Sub-Insurance-1,18004.31,USD,Medical Devices Inc,Nursing,15824.09,Approved,Paid,INV9564-8976
COST00137,2024-03-24,IT Support,Sub-ITSupport-3,671.06,USD,BioMed Corp,Ultrasound,778.25,Pending,Paid,INV5523-6248
COST00138,2024-05-17,Staff Salaries,Sub-StaffSalaries-2,148971.75,USD,Medical Devices Inc,Andrology,136829.52,Approved,Due,INV4220-3975
COST00139,2024-11-15,Utilities,Sub-Utilities-5,1173.1,USD,Clinical Solutions Ltd,Ultrasound,1136.55,Approved,Paid,
COST00140,2024-05-13,IT Support,Sub-ITSupport-5,28805.67804799242,USD,Healthcare Innovations,Andrology,38220.02,Approved,Due,INV9119-3298
COST00141,2025-05-13,Medical Supplies,Sub-MedicalSupplies-5,13753.3,USD,Clinical Solutions Ltd,Surgery,14519.27,Approved,Paid,INV1705-9716
COST00142,2024-11-21,Utilities,Sub-Utilities-3,19863.73,USD,Healthcare Innovations,Embryology Lab,19191.94,Approved,Due,INV2306-7824
COST00143,2025-09-02,IT Support,Sub-ITSupport-5,18384.04,USD,Healthcare Innovations,Surgery,27104.77,Approved,Overdue,INV1059-1283
COST00144,2025-04-03,Equipment Maintenance,Sub-EquipmentMaintenance-1,47886.86,USD,Clinical Solutions Ltd,Counseling,53410.54,Approved,Due,INV4671-5250
COST00145,2025-04-22,Training,Sub-Training-2,12742.08,USD,Healthcare Innovations,Ultrasound,17254.46,Approved,Paid,INV6951-6996
COST00146,2024-01-17,Staff Salaries,Sub-StaffSalaries-2,102957.93,USD,BioMed Corp,Andrology,101713.86,Pending,Paid,INV3530-9568
COST00147,2025-08-13,Rent/Lease,Sub-Rent/Lease-2,11822.38,USD,BioMed Corp,Counseling,11826.45,Approved,Paid,INV1848-1187
COST00148,2024-08-26,Pharmaceuticals,Sub-Pharmaceuticals-2,3487.78,USD,Precision Healthcare,Surgery,4254.53,Approved,Paid,
COST00149,2024-04-21,Training,Sub-Training-3,215373.9755222449,USD,Precision Healthcare,Counseling,232425.92,Approved,Paid,INV4003-8602
COST00150,2024-11-24,Marketing,Sub-Marketing-5,11300.88,USD,Precision Healthcare,Embryology Lab,9239.48,Approved,Paid,
COST00151,2024-06-03,IT Support,Sub-ITSupport-3,13395.33,USD,Medical Devices Inc,Nursing,19719.27,Approved,Due,INV3546-7089
COST00152,2024-02-14,IT Support,Sub-ITSupport-4,18974.57,USD,MedTech Solutions,Ultrasound,20831.23,Approved,Paid,INV1404-2863
COST00153,2024-01-10,Insurance,Sub-Insurance-1,6241.26,USD,Clinical Solutions Ltd,Counseling,8932.67,Pending,Paid,INV6533-6988
COST00154,2025-03-27,Equipment Maintenance,Sub-EquipmentMaintenance-4,36990.22,USD,Healthcare Innovations,Andrology,41758.23,Pending,Due,INV7183-2360
COST00155,2025-01-22,Utilities,Sub-Utilities-4,5132.97,USD,Clinical Solutions Ltd,Embryology Lab,5521.03,Approved,Paid,
COST00156,2024-06-17,IT Support,Sub-ITSupport-2,2162.44,USD,Advanced Medical Systems,Nursing,2898.3,Pending,Due,INV4086-8186
COST00157,2024-05-06,Marketing,Sub-Marketing-4,105695.2706221557,USD,Advanced Medical Systems,Surgery,125790.87,Approved,Paid,INV8307-9637
COST00158,2024-08-24,Staff Salaries,Sub-StaffSalaries-1,183277.43,USD,BioMed Corp,Nursing,185853.17,Approved,Paid,INV9749-7578
COST00159,2024-02-07,Pharmaceuticals,Sub-Pharmaceuticals-3,18046.21,USD,Clinical Solutions Ltd,Ultrasound,24428.84,Approved,Paid,INV1906-8912
COST00160,2024-02-07,Equipment Maintenance,Sub-EquipmentMaintenance-5,36428.3,USD,Healthcare Innovations,Ultrasound,38004.92,Approved,Paid,INV5377-5861
COST00161,2024-08-25,Equipment Maintenance,Sub-EquipmentMaintenance-1,38704.9,USD,Clinical Solutions Ltd,Counseling,36700.96,Approved,Paid,INV2021-7055
COST00162,2025-03-15,Equipment Maintenance,Sub-EquipmentMaintenance-5,39507.37,USD,Precision Healthcare,Surgery,55544.03,Pending,Paid,
COST00163,2025-02-15,Insurance,Sub-Insurance-2,5629.33,USD,BioMed Corp,Reproductive Endocrinology,5620.73,Approved,Paid,INV9819-3339
COST00164,2024-04-17,Utilities,Sub-Utilities-3,5526.1,USD,Medical Devices Inc,Embryology Lab,6534.37,Approved,Due,
COST00165,2024-01-27,Utilities,Sub-Utilities-4,6579.32,USD,Health Systems Pro,Nursing,9728.01,Pending,Paid,INV4537-3018
COST00166,2025-02-23,Equipment Maintenance,Sub-EquipmentMaintenance-2,11925.1,USD,,Nursing,13543.33,Rejected,Paid,
COST00167,2024-05-13,Equipment Maintenance,Sub-EquipmentMaintenance-2,30783.92,USD,Medical Devices Inc,Reproductive Endocrinology,31336.84,Approved,Paid,INV1136-1094
COST00168,2024-10-02,Insurance,Sub-Insurance-4,17797.66,USD,MedTech Solutions,Ultrasound,15975.63,Pending,Paid,INV4212-6030
COST00169,2025-03-10,Rent/Lease,Sub-Rent/Lease-3,9532.5,USD,Precision Healthcare,Embryology Lab,12462.87,Approved,Due,INV6116-9464
COST00170,2025-04-05,Medical Supplies,Sub-MedicalSupplies-4,45820.52,USD,Healthcare Innovations,Embryology Lab,51626.4,Approved,Paid,INV1228-8020
COST00171,2024-10-20,Utilities,Sub-Utilities-3,7695.35,USD,BioMed Corp,Nursing,10546.62,Pending,Paid,INV2922-6730
COST00172,2024-02-15,Medical Supplies,Sub-MedicalSupplies-3,31079.79,USD,Health Systems Pro,Ultrasound,37860.1,Approved,Paid,INV2250-7006
COST00173,2025-07-13,Equipment Maintenance,Sub-EquipmentMaintenance-4,43479.26,USD,Health Systems Pro,Embryology Lab,63813.77,Approved,Paid,INV5859-6187
COST00174,2024-08-28,Insurance,Sub-Insurance-3,2193.7,USD,Healthcare Innovations,Ultrasound,2873.74,Approved,Paid,INV7262-8718
COST00175,2024-01-01,Rent/Lease,Sub-Rent/Lease-5,55350.88200432098,USD,Healthcare Innovations,Embryology Lab,64792.19,Approved,Due,INV3994-6958
COST00176,2025-05-11,Insurance,Sub-Insurance-5,4236.85,USD,Health Systems Pro,Ultrasound,5369.18,Rejected,Paid,INV1331-2582
COST00177,2024-09-26,IT Support,Sub-ITSupport-2,18755.26,USD,Healthcare Innovations,Reproductive Endocrinology,16309.3,Approved,Due,INV3909-6414
COST00178,2024-10-04,Medical Supplies,Sub-MedicalSupplies-3,49851.12,USD,Precision Healthcare,Reproductive Endocrinology,69330.98,Approved,Paid,INV2454-2195
COST00179,2025-04-08,Equipment Maintenance,Sub-EquipmentMaintenance-5,48043.17,USD,Health Systems Pro,Counseling,62164.59,Pending,Due,INV3029-4466
COST00180,2025-08-19,IT Support,Sub-ITSupport-2,4227.24,USD,,Counseling,4572.38,Approved,Due,INV4508-6464
COST00181,2025-05-19,IT Support,Sub-ITSupport-4,9999.52,USD,Clinical Solutions Ltd,Reproductive Endocrinology,9177.1,Approved,Paid,INV7869-6903
COST00182,2024-04-20,Equipment Maintenance,Sub-EquipmentMaintenance-1,46905.96,USD,Precision Healthcare,Reproductive Endocrinology,63856.43,Approved,Paid,INV1577-1319
COST00183,2025-02-26,Pharmaceuticals,Sub-Pharmaceuticals-4,2155.06,USD,Advanced Medical Systems,Counseling,1941.45,Approved,Due,INV7985-2427
