kpi_id,month_year,department,kpi_name,kpi_value,target_value,unit,trend,benchmark_comparison
KPI00042,2024-01,Nursing,Appointment No-Show Rate,0.831,0.822,rate,Improving,Below Industry Average
KPI00043,2024-01,Nursing,Cost Per Patient,,0.722,minutes,Declining,Above Industry Average
KPI00044,2024-01,Nursing,Revenue Per Patient,0.996,0.812,USD,Stable,At Industry Average
KPI00045,2024-01,Nursing,Treatment Success Rate,0.911,0.744,count,Declining,Below Industry Average
KPI00046,2024-01,Nursing,Patient Throughput,0.955,0.785,rate,Declining,At Industry Average
KPI00047,2024-01,Nursing,Overtime Hours,,0.76,rate,Improving,Above Industry Average
KPI00048,2024-01,Nursing,Staff Turnover Rate,0.764,0.919,%,Declining,Above Industry Average
KPI00049,2024-01,Ultrasound,Average Wait Time,0.61,0.702,count,Improving,Below Industry Average
KPI00050,2024-01,Ultrasound,Patient Satisfaction Score,0.644,0.917,rate,Improving,At Industry Average
KPI00051,2024-01,Ultrasound,Equipment Utilization Rate,0.833,0.772,%,Stable,Above Industry Average
KPI00052,2024-01,Ultrasound,Room Utilization Rate,0.345,0.947,USD,Stable,Below Industry Average
KPI00053,2024-01,Ultrasound,Staff Productivity Score,0.648,0.914,score,Declining,At Industry Average
KPI00054,2024-01,Ultrasound,Appointment No-Show Rate,0.916,0.823,score,Declining,Above Industry Average
KPI00055,2024-01,Ultrasound,Cost Per Patient,0.996,0.932,count,Declining,At Industry Average
KPI00056,2024-01,Ultrasound,Revenue Per Patient,0.555,0.898,count,Stable,Above Industry Average
KPI00057,2024-01,Ultrasound,Treatment Success Rate,0.877,0.885,count,Volatile,Below Industry Average
KPI00058,2024-01,Ultrasound,Patient Throughput,0.912,0.919,rate,Declining,At Industry Average
KPI00059,2024-01,Ultrasound,Overtime Hours,0.527,0.831,%,Declining,Above Industry Average
KPI00060,2024-01,Ultrasound,Staff Turnover Rate,0.767,0.913,score,Improving,Below Industry Average
KPI00061,2024-01,Surgery,Average Wait Time,0.877,0.707,minutes,Improving,Above Industry Average
KPI00062,2024-01,Surgery,Patient Satisfaction Score,0.819,0.841,score,Improving,Above Industry Average
KPI00063,2024-01,Surgery,Equipment Utilization Rate,0.72,0.786,score,Volatile,At Industry Average
KPI00064,2024-01,Surgery,Room Utilization Rate,0.98,0.711,USD,Improving,Above Industry Average
KPI00065,2024-01,Surgery,Staff Productivity Score,0.965,0.725,rate,Volatile,At Industry Average
KPI00066,2024-01,Surgery,Appointment No-Show Rate,0.813,0.885,count,Declining,Below Industry Average
KPI00067,2024-01,Surgery,Cost Per Patient,,0.913,minutes,Declining,Below Industry Average
KPI00068,2024-01,Surgery,Revenue Per Patient,0.75,0.744,USD,Improving,Above Industry Average
KPI00069,2024-01,Surgery,Treatment Success Rate,0.841,0.808,rate,Volatile,Above Industry Average
KPI00070,2024-01,Surgery,Patient Throughput,0.726,0.944,minutes,Improving,Above Industry Average
KPI00071,2024-01,Surgery,Overtime Hours,0.612,0.854,USD,Declining,Below Industry Average
KPI00072,2024-01,Surgery,Staff Turnover Rate,0.936,0.819,score,Declining,Above Industry Average
KPI00073,2024-01,Counseling,Average Wait Time,0.854,0.843,count,Stable,Above Industry Average
KPI00074,2024-01,Counseling,Patient Satisfaction Score,0.892,0.913,USD,Volatile,Below Industry Average
KPI00075,2024-01,Counseling,Equipment Utilization Rate,0.538,0.908,score,Improving,Below Industry Average
KPI00076,2024-01,Counseling,Room Utilization Rate,0.859,0.83,rate,Volatile,Above Industry Average
KPI00077,2024-01,Counseling,Staff Productivity Score,0.881,0.843,score,Improving,At Industry Average
KPI00078,2024-01,Counseling,Appointment No-Show Rate,0.98,0.922,count,Improving,At Industry Average
KPI00079,2024-01,Counseling,Cost Per Patient,0.753,0.79,%,Improving,At Industry Average
KPI00080,2024-01,Counseling,Revenue Per Patient,0.593,0.797,%,Volatile,At Industry Average
KPI00081,2024-01,Counseling,Treatment Success Rate,0.578,0.942,minutes,Improving,At Industry Average
KPI00082,2024-01,Counseling,Patient Throughput,0.973,0.759,rate,Declining,Below Industry Average
KPI00083,2024-01,Counseling,Overtime Hours,0.802,0.883,rate,Declining,Above Industry Average
KPI00084,2024-01,Counseling,Staff Turnover Rate,0.65,0.864,%,Volatile,Above Industry Average
KPI00085,2024-02,Reproductive Endocrinology,Average Wait Time,1.784,0.915,USD,Stable,At Industry Average
KPI00086,2024-02,Reproductive Endocrinology,Patient Satisfaction Score,0.676,0.72,%,Improving,Above Industry Average
KPI00087,2024-02,Reproductive Endocrinology,Equipment Utilization Rate,1.016,0.921,minutes,Volatile,Above Industry Average
KPI00088,2024-02,Reproductive Endocrinology,Room Utilization Rate,0.799,0.728,count,Declining,Above Industry Average
KPI00089,2024-02,Reproductive Endocrinology,Staff Productivity Score,0.917,0.948,rate,Improving,Above Industry Average
KPI00090,2024-02,Reproductive Endocrinology,Appointment No-Show Rate,,0.833,minutes,Volatile,At Industry Average
KPI00091,2024-02,Reproductive Endocrinology,Cost Per Patient,0.864,0.772,score,Declining,Above Industry Average
KPI00092,2024-02,Reproductive Endocrinology,Revenue Per Patient,0.618,0.9,rate,Declining,Above Industry Average
KPI00093,2024-02,Reproductive Endocrinology,Treatment Success Rate,1.875,0.852,score,Stable,Above Industry Average
KPI00094,2024-02,Reproductive Endocrinology,Patient Throughput,0.654,0.919,USD,Improving,At Industry Average
KPI00095,2024-02,Reproductive Endocrinology,Overtime Hours,0.769,0.855,minutes,Stable,Above Industry Average
KPI00096,2024-02,Reproductive Endocrinology,Staff Turnover Rate,0.86,0.848,rate,Declining,Above Industry Average
KPI00097,2024-02,Embryology Lab,Average Wait Time,0.795,0.827,%,Declining,Above Industry Average
KPI00098,2024-02,Embryology Lab,Patient Satisfaction Score,1.014,0.884,score,Volatile,Above Industry Average
KPI00099,2024-02,Embryology Lab,Equipment Utilization Rate,1.023,0.877,rate,Stable,At Industry Average
KPI00100,2024-02,Embryology Lab,Room Utilization Rate,0.953,0.799,USD,Stable,Below Industry Average
KPI00101,2024-02,Embryology Lab,Staff Productivity Score,0.736,0.759,rate,Volatile,At Industry Average
KPI00102,2024-02,Embryology Lab,Appointment No-Show Rate,0.884,0.886,%,Stable,Above Industry Average
KPI00103,2024-02,Embryology Lab,Cost Per Patient,0.63,0.74,count,Improving,Below Industry Average
KPI00104,2024-02,Embryology Lab,Revenue Per Patient,0.916,0.712,count,Volatile,Below Industry Average
KPI00105,2024-02,Embryology Lab,Treatment Success Rate,0.691,0.862,score,Stable,Above Industry Average
KPI00106,2024-02,Embryology Lab,Patient Throughput,0.595,0.897,%,Stable,At Industry Average
KPI00107,2024-02,Embryology Lab,Overtime Hours,,0.907,score,Improving,Below Industry Average
KPI00108,2024-02,Embryology Lab,Staff Turnover Rate,0.997,0.828,rate,Volatile,Above Industry Average
KPI00109,2024-02,Andrology,Average Wait Time,0.604,0.81,%,Improving,Above Industry Average
KPI00110,2024-02,Andrology,Patient Satisfaction Score,0.95,0.838,count,Declining,Below Industry Average
KPI00111,2024-02,Andrology,Equipment Utilization Rate,,0.806,rate,Improving,Above Industry Average
KPI00112,2024-02,Andrology,Room Utilization Rate,0.731,0.856,minutes,Volatile,Above Industry Average
KPI00113,2024-02,Andrology,Staff Productivity Score,0.616,0.868,minutes,Declining,Below Industry Average
KPI00114,2024-02,Andrology,Appointment No-Show Rate,0.964,0.946,rate,Stable,At Industry Average
KPI00115,2024-02,Andrology,Cost Per Patient,0.831,0.852,score,Stable,Above Industry Average
KPI00116,2024-02,Andrology,Revenue Per Patient,0.612,0.869,score,Improving,Above Industry Average
KPI00117,2024-02,Andrology,Treatment Success Rate,0.82,0.916,rate,Volatile,Above Industry Average
KPI00118,2024-02,Andrology,Patient Throughput,0.637,0.727,score,Volatile,At Industry Average
KPI00119,2024-02,Andrology,Overtime Hours,0.598,0.912,score,Declining,At Industry Average
KPI00120,2024-02,Andrology,Staff Turnover Rate,0.855,0.866,%,Volatile,At Industry Average
KPI00121,2024-02,Nursing,Average Wait Time,0.767,0.753,rate,Volatile,At Industry Average
KPI00122,2024-02,Nursing,Patient Satisfaction Score,1.028,0.723,rate,Improving,Above Industry Average
KPI00123,2024-02,Nursing,Equipment Utilization Rate,,0.739,score,Volatile,Below Industry Average
KPI00124,2024-02,Nursing,Room Utilization Rate,0.906,0.71,%,Volatile,Above Industry Average
KPI00125,2024-02,Nursing,Staff Productivity Score,0.589,0.916,rate,Declining,Above Industry Average
KPI00126,2024-02,Nursing,Appointment No-Show Rate,0.818,0.942,count,Declining,Below Industry Average
KPI00127,2024-02,Nursing,Cost Per Patient,0.757,0.906,rate,Improving,Above Industry Average
KPI00128,2024-02,Nursing,Revenue Per Patient,0.568,0.791,%,Declining,Below Industry Average
KPI00129,2024-02,Nursing,Treatment Success Rate,1.385,0.817,%,Improving,Above Industry Average
KPI00130,2024-02,Nursing,Patient Throughput,0.735,0.92,rate,Volatile,Below Industry Average
KPI00131,2024-02,Nursing,Overtime Hours,0.613,0.822,score,Declining,At Industry Average
KPI00132,2024-02,Nursing,Staff Turnover Rate,0.59,0.88,score,Declining,Below Industry Average
KPI00133,2024-02,Ultrasound,Average Wait Time,0.88,0.875,minutes,Declining,At Industry Average
KPI00134,2024-02,Ultrasound,Patient Satisfaction Score,1.023,0.912,score,Volatile,Below Industry Average
KPI00135,2024-02,Ultrasound,Equipment Utilization Rate,0.547,0.866,rate,Volatile,Above Industry Average
KPI00136,2024-02,Ultrasound,Room Utilization Rate,0.574,0.904,minutes,Volatile,Below Industry Average
KPI00137,2024-02,Ultrasound,Staff Productivity Score,0.764,0.716,rate,Improving,At Industry Average
KPI00138,2024-02,Ultrasound,Appointment No-Show Rate,0.6,0.834,USD,Improving,Above Industry Average
KPI00139,2024-02,Ultrasound,Cost Per Patient,0.835,0.871,USD,Declining,At Industry Average
KPI00140,2024-02,Ultrasound,Revenue Per Patient,0.75,0.705,count,Improving,Below Industry Average
KPI00141,2024-02,Ultrasound,Treatment Success Rate,0.948,0.826,%,Stable,Above Industry Average
KPI00142,2024-02,Ultrasound,Patient Throughput,0.879,0.78,USD,Volatile,Above Industry Average
KPI00143,2024-02,Ultrasound,Overtime Hours,1.017,0.777,score,Stable,At Industry Average
KPI00144,2024-02,Ultrasound,Staff Turnover Rate,0.8,0.846,rate,Volatile,At Industry Average
KPI00145,2024-02,Surgery,Average Wait Time,0.775,0.917,count,Declining,At Industry Average
KPI00146,2024-02,Surgery,Patient Satisfaction Score,0.951,0.71,USD,Stable,At Industry Average
KPI00147,2024-02,Surgery,Equipment Utilization Rate,0.306,0.882,minutes,Volatile,At Industry Average
KPI00148,2024-02,Surgery,Room Utilization Rate,0.984,0.84,%,Volatile,Above Industry Average
KPI00149,2024-02,Surgery,Staff Productivity Score,0.732,0.896,USD,Stable,Below Industry Average
KPI00150,2024-02,Surgery,Appointment No-Show Rate,0.965,0.871,rate,Stable,Below Industry Average
KPI00151,2024-02,Surgery,Cost Per Patient,0.807,0.816,%,Declining,Below Industry Average
KPI00152,2024-02,Surgery,Revenue Per Patient,0.888,0.869,rate,Stable,Above Industry Average
KPI00153,2024-02,Surgery,Treatment Success Rate,0.721,0.759,count,Stable,Above Industry Average
KPI00154,2024-02,Surgery,Patient Throughput,0.93,0.725,%,Improving,At Industry Average
KPI00155,2024-02,Surgery,Overtime Hours,0.859,0.788,rate,Improving,Above Industry Average
KPI00156,2024-02,Surgery,Staff Turnover Rate,0.634,0.879,rate,Improving,At Industry Average
KPI00157,2024-02,Counseling,Average Wait Time,0.723,0.765,count,Volatile,At Industry Average
KPI00158,2024-02,Counseling,Patient Satisfaction Score,,0.911,%,Declining,Below Industry Average
KPI00159,2024-02,Counseling,Equipment Utilization Rate,0.77,0.939,score,Stable,Above Industry Average
KPI00160,2024-02,Counseling,Room Utilization Rate,0.843,0.806,%,Declining,Below Industry Average
KPI00161,2024-02,Counseling,Staff Productivity Score,0.979,0.727,count,Stable,Below Industry Average
KPI00162,2024-02,Counseling,Appointment No-Show Rate,0.884,0.838,score,Improving,Below Industry Average
KPI00163,2024-02,Counseling,Cost Per Patient,0.919,0.745,rate,Volatile,Above Industry Average
KPI00164,2024-02,Counseling,Revenue Per Patient,0.957,0.73,rate,Volatile,At Industry Average
KPI00165,2024-02,Counseling,Treatment Success Rate,0.788,0.789,%,Stable,At Industry Average
KPI00166,2024-02,Counseling,Patient Throughput,0.64,0.756,%,Declining,Above Industry Average
KPI00167,2024-02,Counseling,Overtime Hours,1.3,0.901,rate,Declining,Above Industry Average
KPI00168,2024-02,Counseling,Staff Turnover Rate,0.865,0.825,USD,Declining,Above Industry Average
KPI00169,2024-03,Reproductive Endocrinology,Average Wait Time,0.804,0.763,rate,Improving,Below Industry Average
KPI00170,2024-03,Reproductive Endocrinology,Patient Satisfaction Score,0.84,0.934,rate,Declining,Above Industry Average
KPI00171,2024-03,Reproductive Endocrinology,Equipment Utilization Rate,0.643,0.882,score,Stable,Above Industry Average
KPI00172,2024-03,Reproductive Endocrinology,Room Utilization Rate,0.663,0.71,%,Volatile,Above Industry Average
KPI00173,2024-03,Reproductive Endocrinology,Staff Productivity Score,0.618,0.913,count,Volatile,Above Industry Average
KPI00174,2024-03,Reproductive Endocrinology,Appointment No-Show Rate,0.787,0.936,minutes,Volatile,At Industry Average
KPI00175,2024-03,Reproductive Endocrinology,Cost Per Patient,0.833,0.723,score,Volatile,Below Industry Average
KPI00176,2024-03,Reproductive Endocrinology,Revenue Per Patient,0.509,0.807,minutes,Improving,At Industry Average
KPI00177,2024-03,Reproductive Endocrinology,Treatment Success Rate,0.955,0.9,rate,Volatile,Above Industry Average
KPI00178,2024-03,Reproductive Endocrinology,Patient Throughput,0.641,0.77,count,Declining,At Industry Average
KPI00179,2024-03,Reproductive Endocrinology,Overtime Hours,0.949,0.86,count,Volatile,Below Industry Average
KPI00180,2024-03,Reproductive Endocrinology,Staff Turnover Rate,0.977,0.709,count,Improving,At Industry Average
KPI00181,2024-03,Embryology Lab,Average Wait Time,0.846,0.837,minutes,Stable,Above Industry Average
KPI00182,2024-03,Embryology Lab,Patient Satisfaction Score,0.777,0.867,USD,Stable,Above Industry Average
KPI00183,2024-03,Embryology Lab,Equipment Utilization Rate,0.89,0.94,minutes,Stable,Above Industry Average
KPI00184,2024-03,Embryology Lab,Room Utilization Rate,0.748,0.813,USD,Improving,At Industry Average
KPI00185,2024-03,Embryology Lab,Staff Productivity Score,0.978,0.794,rate,Volatile,At Industry Average
KPI00186,2024-03,Embryology Lab,Appointment No-Show Rate,0.617,0.898,count,Volatile,At Industry Average
KPI00187,2024-03,Embryology Lab,Cost Per Patient,0.747,0.721,score,Volatile,At Industry Average
KPI00188,2024-03,Embryology Lab,Revenue Per Patient,,0.796,minutes,Improving,At Industry Average
KPI00189,2024-03,Embryology Lab,Treatment Success Rate,0.905,0.888,count,Declining,Below Industry Average
KPI00190,2024-03,Embryology Lab,Patient Throughput,0.969,0.946,%,Stable,Below Industry Average
KPI00191,2024-03,Embryology Lab,Overtime Hours,0.769,0.764,score,Volatile,Below Industry Average
KPI00192,2024-03,Embryology Lab,Staff Turnover Rate,0.854,0.714,score,Stable,Above Industry Average
KPI00193,2024-03,Andrology,Average Wait Time,,0.713,rate,Volatile,At Industry Average
KPI00194,2024-03,Andrology,Patient Satisfaction Score,1.239,0.791,%,Improving,Below Industry Average
KPI00195,2024-03,Andrology,Equipment Utilization Rate,0.599,0.924,USD,Stable,At Industry Average
KPI00196,2024-03,Andrology,Room Utilization Rate,0.838,0.707,USD,Declining,At Industry Average
KPI00197,2024-03,Andrology,Staff Productivity Score,0.577,0.879,%,Improving,At Industry Average
KPI00198,2024-03,Andrology,Appointment No-Show Rate,0.978,0.816,rate,Declining,Below Industry Average
KPI00199,2024-03,Andrology,Cost Per Patient,0.895,0.904,count,Improving,Above Industry Average
KPI00200,2024-03,Andrology,Revenue Per Patient,0.781,0.749,count,Stable,Above Industry Average
KPI00201,2024-03,Andrology,Treatment Success Rate,,0.924,USD,Declining,Above Industry Average
KPI00202,2024-03,Andrology,Patient Throughput,1.037,0.747,minutes,Declining,Below Industry Average
KPI00203,2024-03,Andrology,Overtime Hours,2.488,0.915,count,Volatile,Below Industry Average
KPI00204,2024-03,Andrology,Staff Turnover Rate,0.955,0.828,rate,Declining,At Industry Average
KPI00205,2024-03,Nursing,Average Wait Time,0.946,0.772,rate,Improving,Above Industry Average
KPI00206,2024-03,Nursing,Patient Satisfaction Score,0.756,0.771,rate,Volatile,Above Industry Average
KPI00207,2024-03,Nursing,Equipment Utilization Rate,0.682,0.708,minutes,Volatile,At Industry Average
KPI00208,2024-03,Nursing,Room Utilization Rate,1.015,0.74,%,Improving,At Industry Average
KPI00209,2024-03,Nursing,Staff Productivity Score,0.935,0.717,score,Improving,Above Industry Average
KPI00210,2024-03,Nursing,Appointment No-Show Rate,0.714,0.943,count,Improving,Above Industry Average
KPI00211,2024-03,Nursing,Cost Per Patient,0.571,0.882,count,Declining,At Industry Average
KPI00212,2024-03,Nursing,Revenue Per Patient,0.96,0.762,%,Stable,At Industry Average
KPI00213,2024-03,Nursing,Treatment Success Rate,0.817,0.941,count,Declining,Below Industry Average
KPI00214,2024-03,Nursing,Patient Throughput,0.987,0.934,rate,Improving,Above Industry Average
KPI00215,2024-03,Nursing,Overtime Hours,0.892,0.763,count,Improving,At Industry Average
KPI00216,2024-03,Nursing,Staff Turnover Rate,0.995,0.895,rate,Stable,At Industry Average
KPI00217,2024-03,Ultrasound,Average Wait Time,1.019,0.721,count,Improving,Above Industry Average
KPI00218,2024-03,Ultrasound,Patient Satisfaction Score,0.847,0.84,score,Stable,Below Industry Average
KPI00219,2024-03,Ultrasound,Equipment Utilization Rate,1.712,0.793,rate,Improving,Below Industry Average
KPI00220,2024-03,Ultrasound,Room Utilization Rate,0.781,0.803,score,Stable,Above Industry Average
KPI00221,2024-03,Ultrasound,Staff Productivity Score,0.671,0.814,%,Improving,Above Industry Average
KPI00222,2024-03,Ultrasound,Appointment No-Show Rate,1.584,0.94,rate,Volatile,At Industry Average
KPI00223,2024-03,Ultrasound,Cost Per Patient,0.62,0.901,score,Improving,Above Industry Average
KPI00224,2024-03,Ultrasound,Revenue Per Patient,0.876,0.754,count,Declining,Below Industry Average
KPI00225,2024-03,Ultrasound,Treatment Success Rate,0.897,0.935,score,Declining,Below Industry Average
KPI00226,2024-03,Ultrasound,Patient Throughput,0.902,0.743,%,Volatile,Above Industry Average
KPI00227,2024-03,Ultrasound,Overtime Hours,0.569,0.795,USD,Stable,Below Industry Average
KPI00228,2024-03,Ultrasound,Staff Turnover Rate,0.69,0.729,score,Improving,At Industry Average
KPI00229,2024-03,Surgery,Average Wait Time,0.906,0.739,minutes,Improving,At Industry Average
KPI00230,2024-03,Surgery,Patient Satisfaction Score,0.632,0.815,rate,Declining,Above Industry Average
KPI00231,2024-03,Surgery,Equipment Utilization Rate,0.78,0.724,%,Volatile,Below Industry Average
KPI00232,2024-03,Surgery,Room Utilization Rate,0.66,0.838,score,Declining,Above Industry Average
KPI00233,2024-03,Surgery,Staff Productivity Score,0.674,0.899,score,Stable,At Industry Average
KPI00234,2024-03,Surgery,Appointment No-Show Rate,1.834,0.752,rate,Volatile,Above Industry Average
KPI00235,2024-03,Surgery,Cost Per Patient,,0.944,minutes,Stable,Above Industry Average
KPI00236,2024-03,Surgery,Revenue Per Patient,0.916,0.772,count,Volatile,Below Industry Average
KPI00237,2024-03,Surgery,Treatment Success Rate,0.733,0.863,USD,Stable,Above Industry Average
KPI00238,2024-03,Surgery,Patient Throughput,0.602,0.811,%,Improving,Above Industry Average
KPI00239,2024-03,Surgery,Overtime Hours,0.625,0.774,rate,Declining,Below Industry Average
KPI00240,2024-03,Surgery,Staff Turnover Rate,0.697,0.886,minutes,Volatile,Below Industry Average
KPI00241,2024-03,Counseling,Average Wait Time,1.647,0.916,minutes,Stable,Below Industry Average
KPI00242,2024-03,Counseling,Patient Satisfaction Score,0.93,0.745,%,Declining,At Industry Average
KPI00243,2024-03,Counseling,Equipment Utilization Rate,0.968,0.851,score,Stable,At Industry Average
KPI00244,2024-03,Counseling,Room Utilization Rate,0.751,0.732,minutes,Volatile,At Industry Average
KPI00245,2024-03,Counseling,Staff Productivity Score,1.128,0.8,%,Declining,Above Industry Average
KPI00246,2024-03,Counseling,Appointment No-Show Rate,0.888,0.888,USD,Improving,Below Industry Average
KPI00247,2024-03,Counseling,Cost Per Patient,0.974,0.89,score,Volatile,Below Industry Average
KPI00248,2024-03,Counseling,Revenue Per Patient,0.599,0.723,score,Stable,Above Industry Average
KPI00249,2024-03,Counseling,Treatment Success Rate,0.57,0.919,rate,Stable,Above Industry Average
KPI00250,2024-03,Counseling,Patient Throughput,0.778,0.814,score,Stable,At Industry Average
KPI00251,2024-03,Counseling,Overtime Hours,1.723,0.899,score,Volatile,Above Industry Average
KPI00252,2024-03,Counseling,Staff Turnover Rate,0.792,0.862,%,Declining,Below Industry Average
KPI00253,2024-04,Reproductive Endocrinology,Average Wait Time,0.224,0.901,%,Declining,At Industry Average
KPI00254,2024-04,Reproductive Endocrinology,Patient Satisfaction Score,0.645,0.789,USD,Improving,Below Industry Average
KPI00255,2024-04,Reproductive Endocrinology,Equipment Utilization Rate,0.642,0.752,count,Volatile,Below Industry Average
KPI00256,2024-04,Reproductive Endocrinology,Room Utilization Rate,0.744,0.856,count,Improving,Above Industry Average
KPI00257,2024-04,Reproductive Endocrinology,Staff Productivity Score,0.546,0.913,minutes,Volatile,Above Industry Average
KPI00258,2024-04,Reproductive Endocrinology,Appointment No-Show Rate,0.861,0.821,USD,Stable,Above Industry Average
KPI00259,2024-04,Reproductive Endocrinology,Cost Per Patient,0.847,0.796,%,Declining,Below Industry Average
KPI00260,2024-04,Reproductive Endocrinology,Revenue Per Patient,0.563,0.864,minutes,Declining,Below Industry Average
KPI00261,2024-04,Reproductive Endocrinology,Treatment Success Rate,0.632,0.728,minutes,Stable,Below Industry Average
KPI00262,2024-04,Reproductive Endocrinology,Patient Throughput,0.876,0.89,USD,Improving,At Industry Average
KPI00263,2024-04,Reproductive Endocrinology,Overtime Hours,,0.747,minutes,Improving,Above Industry Average
KPI00264,2024-04,Reproductive Endocrinology,Staff Turnover Rate,0.567,0.833,%,Stable,Below Industry Average
KPI00265,2024-04,Embryology Lab,Average Wait Time,0.823,0.872,minutes,Declining,Below Industry Average
KPI00266,2024-04,Embryology Lab,Patient Satisfaction Score,0.782,0.907,count,Stable,At Industry Average
KPI00267,2024-04,Embryology Lab,Equipment Utilization Rate,0.976,0.821,score,Volatile,Below Industry Average
KPI00268,2024-04,Embryology Lab,Room Utilization Rate,0.946,0.822,%,Declining,Below Industry Average
KPI00269,2024-04,Embryology Lab,Staff Productivity Score,0.835,0.798,USD,Stable,Above Industry Average
KPI00270,2024-04,Embryology Lab,Appointment No-Show Rate,0.947,0.893,%,Improving,At Industry Average
KPI00271,2024-04,Embryology Lab,Cost Per Patient,0.844,0.904,minutes,Volatile,Below Industry Average
KPI00272,2024-04,Embryology Lab,Revenue Per Patient,,0.871,minutes,Stable,Above Industry Average
KPI00273,2024-04,Embryology Lab,Treatment Success Rate,0.9,0.796,minutes,Declining,Above Industry Average
KPI00274,2024-04,Embryology Lab,Patient Throughput,0.932,0.918,count,Stable,At Industry Average
KPI00275,2024-04,Embryology Lab,Overtime Hours,0.75,0.716,%,Volatile,Below Industry Average
KPI00276,2024-04,Embryology Lab,Staff Turnover Rate,0.829,0.749,count,Volatile,Below Industry Average
